Date,Lie,Url,Explanation
2017-02-05,"We had 109 people out of hundreds of thousands of travelers and all we did was vet those people very, very carefully.",http://www.politifact.com/truth-o-meter/statements/2017/feb/06/donald-trump/president-trump-says-109-people-were-affected-trav/,"About 60,000 people were affected."
2017-02-06,I have already saved more than $700 million when I got involved in the negotiation on the F-35.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price drop was projected before Trump took office.
2017-02-06,"It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it.",https://www.nytimes.com/2017/02/07/us/politics/the-white-house-list-of-terror-attacks-underreported-by-media.html,"Terrorism has been reported on, often in detail."
2017-02-06,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It didn't apologize.
2017-02-06,"And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.",https://www.nytimes.com/2015/11/19/world/middleeast/in-rise-of-isis-no-single-missed-key-but-many-strands-of-blame.html,The group’s origins date to 2004.
2017-02-07,"And yet the murder rate in our country is the highest it’s been in 47 years, right? Did you know that? Forty-seven years.",http://www.politifact.com/truth-o-meter/statements/2017/feb/08/donald-trump/donald-trump-wrong-murder-rate-highest-47-years/,It was higher in the 1980s and '90s.
2017-02-07,"I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,The Defense Department projected this price drop before Trump took office.
2017-02-09,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ‘service’ in Vietnam. FAKE NEWS!",http://transcripts.cnn.com/TRANSCRIPTS/1702/09/nday.05.html,It was part of Cuomo's first question.
2017-02-09,Sen. Richard Blumenthal now misrepresents what Judge Gorsuch told him?,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/10/heres-what-trump-got-wrong-on-twitter-this-week-5/?utm_term=.6fbfc4abc6e0,The Gorsuch comments were later corroborated.
2017-02-10,I don’t know about it. I haven’t seen it. What report is that?,http://www.factcheck.org/2017/02/trump-spins-flynn-facts/,Trump knew about Flynn's actions for weeks.
2017-02-12,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,http://www.palmbeachpost.com/news/national-govt--politics/trump-heads-back-protesters-supporters-gather/CQXPE9NRk807XKWiDwefWK/,The media did cover it.
2017-02-16,We got 306 because people came out and voted like they've never seen before so that's the way it goes. I guess it was the biggest Electoral College win since Ronald Reagan.,https://www.nytimes.com/2017/02/16/us/politics/trump-fact-check.html,"George H.W. Bush, Bill Clinton and Barack Obama all won bigger margins in the Electoral College."
2017-02-16,That’s the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/03/what-trump-got-wrong-on-twitter-this-week-4/,Delta's problems happened two days later.
2017-02-16,"Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives.",https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html,The jobs are a result of its investment plans announced in October 2016.
2017-02-16,"When WikiLeaks, which I had nothing to do with, comes out and happens to give, they’re not giving classified information.",http://www.politifact.com/truth-o-meter/article/2017/feb/16/fact-checking-donald-trumps-press-conference/,Not always. They have released classified information in the past.
